Episode,AgentReward,P1Score,P2Score,P3Score,P4Score
407,22.0,22.0,20,32.0,19.0
408,22.0,22.0,32.0,17,22.0
409,19.0,19.0,23.0,19,32.0
410,19.0,19.0,22.0,20,32.0
411,32.0,32.0,17,22.0,22.0
412,35.0,35.0,29.0,17,12.0
413,32.0,32.0,29.0,7,25.0
414,6,6,35.0,20.0,32.0
415,19.0,19.0,19,23.0,32.0
416,19,19,23.0,32.0,19.0
417,29,29,20.0,22.0,22.0
418,22.0,22.0,32.0,20.0,19
419,26,26,19.0,13.0,35.0
420,32.0,32.0,17,22.0,22.0
421,32,32,20.0,32.0,9.0
422,22.0,22.0,32.0,17,22.0
423,29.0,29.0,9.0,26.0,29
424,22.0,22.0,20,32.0,19.0
425,32.0,32.0,17,22.0,22.0
426,22.0,22.0,20,32.0,19.0
427,29.0,29.0,20.0,12.0,32
428,19.0,19.0,19,23.0,32.0
429,9.0,9.0,35.0,20.0,29
430,29,29,20.0,22.0,22.0
431,22.0,22.0,29,20.0,22.0
432,16,16,22.0,23.0,32.0
433,22.0,22.0,22.0,32.0,17
434,29,29,20.0,22.0,22.0
435,32.0,32.0,20.0,22.0,19
436,32.0,32.0,19.0,20,22.0
437,32.0,32.0,10.0,32,19.0
438,9.0,9.0,23,32.0,29.0
439,9.0,9.0,26.0,32.0,26
440,35.0,35.0,17,32.0,9.0
441,19,19,23.0,32.0,19.0
442,19.0,19.0,23.0,19,32.0
443,19.0,19.0,13.0,35.0,26
444,22.0,22.0,32.0,20.0,19
445,19.0,19.0,19,23.0,32.0
446,32.0,32.0,10.0,35.0,16
447,29,29,20.0,22.0,22.0
448,35.0,35.0,20.0,29,9.0
449,32.0,32.0,20.0,22.0,19
450,35.0,35.0,17,32.0,9.0
451,26,26,9.0,26.0,32.0
452,9.0,9.0,26.0,32.0,26
453,19.0,19.0,23.0,22.0,29
454,22.0,22.0,29,20.0,22.0
455,32.0,32.0,16,23.0,22.0
456,29.0,29.0,10.0,22,32.0
457,22.0,22.0,23.0,32.0,16
458,22.0,22.0,22.0,32.0,17
459,19.0,19.0,23.0,19,32.0
460,19.0,19.0,23.0,19,32.0
461,6,6,26.0,32.0,29.0
462,19.0,19.0,23.0,22.0,29
463,29,29,20.0,22.0,22.0
464,35.0,35.0,20.0,32.0,6
465,32.0,32.0,29.0,7,25.0
466,32.0,32.0,10.0,32,19.0
467,32.0,32.0,19.0,20,22.0
468,32.0,32.0,10.0,35.0,16
469,35.0,35.0,20.0,32.0,6
470,19,19,23.0,32.0,19.0
471,32,32,20.0,32.0,9.0
472,32.0,32.0,20.0,22.0,19
473,9.0,9.0,26.0,32.0,26
474,26,26,19.0,13.0,35.0
475,32.0,32.0,10.0,32,19.0
476,32.0,32.0,10.0,35.0,16
477,29,29,20.0,22.0,22.0
478,19.0,19.0,23.0,19,32.0
479,16,16,23.0,22.0,32.0
480,26,26,20.0,12.0,35.0
481,19,19,23.0,32.0,19.0
482,29.0,29.0,20.0,9,35.0
483,19.0,19.0,22.0,23.0,29
484,32.0,32.0,7,35.0,19.0
485,19.0,19.0,19,23.0,32.0
486,32,32,20.0,32.0,9.0
487,16,16,13.0,35.0,29.0
488,19.0,19.0,22.0,20,32.0
489,35.0,35.0,20.0,32.0,6
490,16,16,22.0,23.0,32.0
491,9.0,9.0,23,32.0,29.0
492,29,29,19.0,23.0,22.0
493,19.0,19.0,29,10.0,35.0
494,22.0,22.0,20,32.0,19.0
495,6,6,35.0,20.0,32.0
496,9.0,9.0,32,20.0,32.0
497,35.0,35.0,20.0,29,9.0
498,22.0,22.0,20,32.0,19.0
499,32.0,32.0,19.0,23.0,19
500,29.0,29.0,19.0,10,35.0
